GEOID,pct_owned,median_hh_income,population,pct_white,pct_black,pct_hisp,pct_asian,pct_coll_plus,pop_density,homicide_rate,other_violent_rate,property_rate
55079000101,23.4,30676.0,4469,29.8,63.7,3.5,1.0,32.8,11.706,8.95,1333.6,2020.6
55079000102,46.5,40242.0,3666,26.8,56.0,6.2,9.4,20.3,5.633,0.0,995.6,2705.9
55079000201,17.5,26596.0,5073,14.7,60.4,18.6,2.9,13.3,6.413,7.88,1435.0,1655.8
55079000202,53.5,59136.0,6757,39.1,47.0,7.4,2.4,29.2,8.573,2.96,609.7,1278.7
55079000301,90.4,67031.0,1462,83.2,13.2,1.8,1.8,28.6,7.364,0.0,184.7,725.0
55079000302,40.7,43438.0,3233,11.3,74.0,4.6,4.1,22.0,17.601,12.37,1197.0,1252.7
55079000303,49.4,51862.0,1949,39.6,45.3,2.4,6.0,14.6,12.214,5.13,466.9,938.9
55079000304,88.3,73083.0,3278,38.4,41.3,5.9,11.4,34.9,9.76,3.05,421.0,1153.1
55079000400,20.9,31703.0,2527,33.6,53.4,5.3,4.1,17.5,10.469,0.0,926.0,1859.9
55079000501,51.3,50430.0,3844,37.9,49.2,7.8,0.9,15.1,9.495,2.6,1017.2,2458.4
55079000502,24.8,38033.0,4934,14.3,70.2,6.0,6.2,12.6,27.668,12.16,1552.5,1860.6
55079000600,63.3,48411.0,6958,16.8,57.5,1.6,17.4,17.0,17.909,4.31,927.0,1474.6
55079000700,57.0,41211.0,3560,26.5,60.9,1.7,8.0,19.5,9.11,2.81,918.5,1618.0
55079000800,46.7,37688.0,4844,18.5,62.3,4.9,8.7,25.0,15.95,8.26,914.5,1350.1
55079000900,43.9,34879.0,3474,17.7,70.8,5.5,0.3,16.8,9.992,11.51,1419.1,2040.9
55079001000,40.4,30964.0,3636,13.6,80.0,1.0,3.7,7.6,23.633,8.25,1512.7,1751.9
55079001100,34.5,26375.0,2317,15.4,79.5,1.8,0.0,19.7,7.301,17.26,1830.0,2956.4
55079001200,17.2,31667.0,3224,5.9,70.0,1.3,19.1,5.2,26.307,18.61,2227.0,2109.2
55079001300,47.4,38759.0,4266,6.0,64.0,5.2,23.5,10.0,21.595,18.75,1612.8,2030.0
55079001400,23.0,37023.0,2360,10.4,58.8,2.5,27.0,13.9,21.237,16.95,1766.9,1610.2
55079001500,48.9,31493.0,3431,17.1,57.2,0.0,24.7,9.6,23.108,11.66,1469.0,2165.5
55079001600,41.5,34545.0,2973,13.8,74.0,6.3,4.8,8.4,22.554,6.73,1281.5,1829.8
55079001700,38.5,43068.0,4607,19.6,71.9,3.3,3.0,13.2,34.791,15.19,1265.5,2079.4
55079001800,35.4,29250.0,3253,21.6,59.6,10.5,7.8,7.2,33.022,3.07,1189.7,1564.7
55079001900,37.7,39853.0,2966,12.3,81.0,0.7,0.4,12.3,30.287,6.74,1847.6,1918.4
55079002000,41.1,30325.0,2534,7.9,85.0,1.2,2.2,11.5,23.871,15.79,2162.6,2300.7
55079002100,28.5,22731.0,2154,5.2,89.7,2.8,0.0,6.6,23.982,23.21,2822.7,3221.9
55079002200,56.2,31725.0,1956,31.4,52.8,13.9,0.0,17.0,17.18,0.0,654.4,1094.1
55079002300,49.0,29085.0,4015,2.8,89.1,5.9,0.0,11.7,21.774,9.96,1511.8,1895.4
55079002400,34.3,27170.0,2480,3.6,84.2,2.3,8.0,7.5,21.374,16.13,2322.6,2705.6
55079002500,49.8,30329.0,2227,6.0,81.1,6.2,1.3,8.2,40.303,26.94,2478.7,3156.7
55079002600,35.7,28512.0,2867,2.9,94.4,2.0,0.0,13.3,41.025,24.42,2071.9,2385.8
55079002700,24.2,24014.0,2153,5.8,93.1,0.0,0.0,8.3,31.367,13.93,1751.0,1546.7
