GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",2581,295,23,28,0,9,0,9,0,9,0,9,4,9,0,9,24,37,14,25,35,51,43,91,68,78,99,81,78,72,51,47,422,151,52,83,345,159,261,142,215,136,635,197,158,92,44,56,10,17
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",2702,302,145,164,0,9,0,9,0,9,0,9,2,6,0,9,26,38,2,6,0,9,21,17,47,44,66,50,125,77,50,33,705,161,67,41,139,64,515,129,243,81,300,93,198,82,34,30,17,19
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",2628,334,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,82,119,0,12,0,12,6,15,159,163,143,118,18,29,845,303,139,139,123,88,566,202,198,146,293,111,44,44,0,12,12,19
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",4173,369,34,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,31,32,36,105,84,85,78,121,76,0,12,1055,266,98,73,292,135,604,146,509,245,664,205,455,163,56,61,44,36
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1210,83,21,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,7,0,9,0,9,38,28,28,22,353,73,27,16,86,29,173,59,133,44,262,55,39,25,25,16,20,24
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",1809,154,15,16,0,9,0,9,0,9,0,9,0,9,0,9,14,17,11,16,0,9,5,8,41,30,11,16,69,33,50,29,446,118,58,33,134,56,327,95,230,72,192,76,201,64,0,9,5,8
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1096,110,5,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,10,8,10,16,24,44,24,53,34,325,87,44,26,47,24,287,81,100,45,122,53,27,24,4,8,7,9
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",2219,211,32,32,0,9,0,9,0,9,12,20,0,9,1,3,0,9,0,9,9,15,15,17,13,22,19,24,158,92,0,9,466,141,117,75,61,35,360,116,182,83,425,144,269,80,64,38,16,19
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",1444,162,7,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,18,25,32,24,22,25,13,21,416,116,78,72,78,59,415,146,109,84,236,166,16,22,0,9,0,9
