STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"55","079","186900","55079186900","1869",Census Tract 1869,G5020,S,"427986","0","+43.0558068","-087.8828148"
"55","079","187300","55079187300","1873",Census Tract 1873,G5020,S,"7800892","0","+42.8871589","-087.9656303"
"55","079","160203","55079160203","1602.03",Census Tract 1602.03,G5020,S,"9057633","0","+42.8940293","-087.9163893"
"55","079","000102","55079000102","1.02",Census Tract 1.02,G5020,S,"6508343","0","+43.1646443","-088.0116792"
"55","079","120101","55079120101","1201.01",Census Tract 1201.01,G5020,S,"5350523","14778","+42.9603465","-088.0485651"
"55","079","150303","55079150303","1503.03",Census Tract 1503.03,G5020,S,"6642250","0","+42.8895991","-088.0231193"
"55","079","018000","55079018000","180",Census Tract 180,G5020,S,"2827359","1966543","+43.0113856","-087.8950353"
"55","079","120102","55079120102","1201.02",Census Tract 1201.02,G5020,S,"5220287","0","+42.9740977","-088.0496680"
"55","079","150304","55079150304","1503.04",Census Tract 1503.04,G5020,S,"6944143","125034","+42.9124717","-088.0340939"
"55","079","160204","55079160204","1602.04",Census Tract 1602.04,G5020,S,"5107373","0","+42.8797004","-087.9317945"
"55","079","185600","55079185600","1856",Census Tract 1856,G5020,S,"676085","0","+43.0602672","-087.9146907"
"55","079","186000","55079186000","1860",Census Tract 1860,G5020,S,"582485","0","+43.0539570","-087.9203985"
"55","079","185500","55079185500","1855",Census Tract 1855,G5020,S,"883853","0","+43.0601763","-087.9262488"
"55","079","185900","55079185900","1859",Census Tract 1859,G5020,S,"482397","0","+43.0538377","-087.9322917"
"55","079","185400","55079185400","1854",Census Tract 1854,G5020,S,"712840","0","+43.0602355","-087.9376894"
"55","079","185800","55079185800","1858",Census Tract 1858,G5020,S,"439205","0","+43.0538684","-087.9426517"
"55","079","186200","55079186200","1862",Census Tract 1862,G5020,S,"531348","0","+43.0485661","-087.9324481"
"55","079","186400","55079186400","1864",Census Tract 1864,G5020,S,"762838","0","+43.0369528","-087.9303891"
"55","079","186600","55079186600","1866",Census Tract 1866,G5020,S,"995251","23968","+43.0005739","-087.9132230"
"55","079","186500","55079186500","1865",Census Tract 1865,G5020,S,"1220132","89160","+43.0226856","-087.9133326"
"55","079","003600","55079003600","36",Census Tract 36,G5020,S,"1007039","0","+43.0927362","-087.9832113"
"55","079","018500","55079018500","185",Census Tract 185,G5020,S,"1876099","0","+42.9844186","-087.9143974"
"55","079","016200","55079016200","162",Census Tract 162,G5020,S,"463873","0","+43.0166058","-087.9474509"
"55","079","018700","55079018700","187",Census Tract 187,G5020,S,"489660","0","+42.9955832","-087.9299143"
"55","079","018800","55079018800","188",Census Tract 188,G5020,S,"932629","0","+42.9992964","-087.9405839"
"55","079","018900","55079018900","189",Census Tract 189,G5020,S,"620050","0","+42.9956541","-087.9532321"
"55","079","019000","55079019000","190",Census Tract 190,G5020,S,"2467492","31918","+42.9947531","-087.9684245"
"55","079","019100","55079019100","191",Census Tract 191,G5020,S,"1564713","0","+42.9821673","-087.9654936"
"55","079","016500","55079016500","165",Census Tract 165,G5020,S,"1063064","83484","+43.0151014","-087.9118913"
"55","079","016600","55079016600","166",Census Tract 166,G5020,S,"603886","36711","+43.0097292","-087.9132702"
"55","079","016700","55079016700","167",Census Tract 167,G5020,S,"486175","0","+43.0103011","-087.9220952"
"55","079","016800","55079016800","168",Census Tract 168,G5020,S,"526168","0","+43.0103604","-087.9293500"
"55","079","017000","55079017000","170",Census Tract 170,G5020,S,"705661","0","+43.0104184","-087.9475260"
"55","079","016300","55079016300","163",Census Tract 163,G5020,S,"561000","0","+43.0157271","-087.9376406"
"55","079","016400","55079016400","164",Census Tract 164,G5020,S,"465409","0","+43.0166594","-087.9277760"
"55","079","015900","55079015900","159",Census Tract 159,G5020,S,"471510","0","+43.0215967","-087.9473669"
"55","079","015800","55079015800","158",Census Tract 158,G5020,S,"428632","0","+43.0216594","-087.9376164"
"55","079","016100","55079016100","161",Census Tract 161,G5020,S,"594267","0","+43.0160899","-087.9594660"
"55","079","019800","55079019800","198",Census Tract 198,G5020,S,"2062298","0","+42.9820787","-087.9897334"
"55","079","020000","55079020000","200",Census Tract 200,G5020,S,"1406760","0","+42.9840533","-087.9527360"
"55","079","091400","55079091400","914",Census Tract 914,G5020,S,"806227","0","+43.0403159","-087.9938467"
"55","079","019700","55079019700","197",Census Tract 197,G5020,S,"1882753","0","+42.9757082","-088.0074182"
"55","079","186100","55079186100","1861",Census Tract 1861,G5020,S,"504580","0","+43.0486524","-087.9427932"
"55","079","186300","55079186300","1863",Census Tract 1863,G5020,S,"1191314","36196","+43.0408345","-087.9174905"
"55","079","185300","55079185300","1853",Census Tract 1853,G5020,S,"7311217","0","+43.0498748","-088.0426455"
"55","079","060101","55079060101","601.01",Census Tract 601.01,G5020,S,"4278285","89601","+43.1391143","-087.9259897"
"55","079","186800","55079186800","1868",Census Tract 1868,G5020,S,"5722808","0","+43.0281598","-087.9506689"
"55","079","185700","55079185700","1857",Census Tract 1857,G5020,S,"669187","0","+43.0675258","-087.9147121"
"55","079","017100","55079017100","171",Census Tract 171,G5020,S,"675647","0","+43.0105728","-087.9580700"
"55","079","018100","55079018100","181",Census Tract 181,G5020,S,"579401","593813","+42.9982239","-087.8855538"
"55","079","021800","55079021800","218",Census Tract 218,G5020,S,"872800","0","+42.9407958","-087.9569493"
"55","079","035200","55079035200","352",Census Tract 352,G5020,S,"3864495","0","+43.1601219","-087.9070741"
"55","079","020300","55079020300","203",Census Tract 203,G5020,S,"1450957","0","+42.9792426","-087.9265896"
"55","079","020400","55079020400","204",Census Tract 204,G5020,S,"489099","0","+42.9883400","-087.9300853"
"55","079","020500","55079020500","205",Census Tract 205,G5020,S,"477668","0","+42.9883214","-087.9227237"
"55","079","020600","55079020600","206",Census Tract 206,G5020,S,"1326335","0","+42.9810335","-087.9044429"
"55","079","020700","55079020700","207",Census Tract 207,G5020,S,"1777792","0","+42.9803925","-087.8928284"
"55","079","020800","55079020800","208",Census Tract 208,G5020,S,"899314","211906","+42.9855605","-087.8765247"
"55","079","020900","55079020900","209",Census Tract 209,G5020,S,"1011688","0","+42.9701335","-087.9018627"
"55","079","021000","55079021000","210",Census Tract 210,G5020,S,"1286089","0","+42.9627392","-087.8999346"
"55","079","021100","55079021100","211",Census Tract 211,G5020,S,"642849","0","+42.9701493","-087.9144456"
"55","079","050101","55079050101","501.01",Census Tract 501.01,G5020,S,"4896030","0","+43.1768173","-087.9849329"
"55","079","070100","55079070100","701",Census Tract 701,G5020,S,"1609646","0","+43.1206277","-087.9076579"
"55","079","070300","55079070300","703",Census Tract 703,G5020,S,"1280683","0","+43.1063142","-087.9037997"
"55","079","080100","55079080100","801",Census Tract 801,G5020,S,"996171","0","+43.0955479","-087.8977397"
