GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",4469,453
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",3666,344
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",5073,532
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",6757,593
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1462,107
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",3233,256
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1949,225
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",3278,278
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",2527,304
1400000US55079000501,55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",3844,288
1400000US55079000502,55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",4934,481
1400000US55079000600,55079000600,"Census Tract 6, Milwaukee County, Wisconsin",6958,781
1400000US55079000700,55079000700,"Census Tract 7, Milwaukee County, Wisconsin",3560,364
1400000US55079000800,55079000800,"Census Tract 8, Milwaukee County, Wisconsin",4844,481
1400000US55079000900,55079000900,"Census Tract 9, Milwaukee County, Wisconsin",3474,316
1400000US55079001000,55079001000,"Census Tract 10, Milwaukee County, Wisconsin",3636,335
1400000US55079001100,55079001100,"Census Tract 11, Milwaukee County, Wisconsin",2317,260
1400000US55079001200,55079001200,"Census Tract 12, Milwaukee County, Wisconsin",3224,311
1400000US55079001300,55079001300,"Census Tract 13, Milwaukee County, Wisconsin",4266,612
1400000US55079001400,55079001400,"Census Tract 14, Milwaukee County, Wisconsin",2360,263
1400000US55079001500,55079001500,"Census Tract 15, Milwaukee County, Wisconsin",3431,412
1400000US55079001600,55079001600,"Census Tract 16, Milwaukee County, Wisconsin",2973,282
1400000US55079001700,55079001700,"Census Tract 17, Milwaukee County, Wisconsin",4607,505
1400000US55079001800,55079001800,"Census Tract 18, Milwaukee County, Wisconsin",3253,424
1400000US55079001900,55079001900,"Census Tract 19, Milwaukee County, Wisconsin",2966,244
1400000US55079002000,55079002000,"Census Tract 20, Milwaukee County, Wisconsin",2534,257
1400000US55079002100,55079002100,"Census Tract 21, Milwaukee County, Wisconsin",2154,257
1400000US55079002200,55079002200,"Census Tract 22, Milwaukee County, Wisconsin",1956,363
1400000US55079002300,55079002300,"Census Tract 23, Milwaukee County, Wisconsin",4015,480
1400000US55079002400,55079002400,"Census Tract 24, Milwaukee County, Wisconsin",2480,354
1400000US55079002500,55079002500,"Census Tract 25, Milwaukee County, Wisconsin",2227,236
1400000US55079002600,55079002600,"Census Tract 26, Milwaukee County, Wisconsin",2867,326
1400000US55079002700,55079002700,"Census Tract 27, Milwaukee County, Wisconsin",2153,474
1400000US55079002800,55079002800,"Census Tract 28, Milwaukee County, Wisconsin",2294,374
1400000US55079002900,55079002900,"Census Tract 29, Milwaukee County, Wisconsin",2253,321
1400000US55079003000,55079003000,"Census Tract 30, Milwaukee County, Wisconsin",4298,566
1400000US55079003100,55079003100,"Census Tract 31, Milwaukee County, Wisconsin",4141,378
1400000US55079003200,55079003200,"Census Tract 32, Milwaukee County, Wisconsin",2810,244
1400000US55079003300,55079003300,"Census Tract 33, Milwaukee County, Wisconsin",5200,449
1400000US55079003400,55079003400,"Census Tract 34, Milwaukee County, Wisconsin",6164,509
1400000US55079003500,55079003500,"Census Tract 35, Milwaukee County, Wisconsin",3614,371
1400000US55079003600,55079003600,"Census Tract 36, Milwaukee County, Wisconsin",2301,260
1400000US55079003700,55079003700,"Census Tract 37, Milwaukee County, Wisconsin",2202,201
1400000US55079003800,55079003800,"Census Tract 38, Milwaukee County, Wisconsin",2284,234
1400000US55079003900,55079003900,"Census Tract 39, Milwaukee County, Wisconsin",2703,365
1400000US55079004000,55079004000,"Census Tract 40, Milwaukee County, Wisconsin",2623,323
1400000US55079004100,55079004100,"Census Tract 41, Milwaukee County, Wisconsin",2641,282
1400000US55079004200,55079004200,"Census Tract 42, Milwaukee County, Wisconsin",3746,404
1400000US55079004300,55079004300,"Census Tract 43, Milwaukee County, Wisconsin",4620,612
1400000US55079004400,55079004400,"Census Tract 44, Milwaukee County, Wisconsin",3655,336
1400000US55079004500,55079004500,"Census Tract 45, Milwaukee County, Wisconsin",2209,399
1400000US55079004600,55079004600,"Census Tract 46, Milwaukee County, Wisconsin",2660,406
1400000US55079004700,55079004700,"Census Tract 47, Milwaukee County, Wisconsin",4098,471
1400000US55079004800,55079004800,"Census Tract 48, Milwaukee County, Wisconsin",4014,379
1400000US55079004900,55079004900,"Census Tract 49, Milwaukee County, Wisconsin",4396,449
1400000US55079005000,55079005000,"Census Tract 50, Milwaukee County, Wisconsin",5256,407
1400000US55079005100,55079005100,"Census Tract 51, Milwaukee County, Wisconsin",3491,348
1400000US55079005200,55079005200,"Census Tract 52, Milwaukee County, Wisconsin",1584,231
1400000US55079005300,55079005300,"Census Tract 53, Milwaukee County, Wisconsin",2050,218
1400000US55079005400,55079005400,"Census Tract 54, Milwaukee County, Wisconsin",3701,250
1400000US55079005500,55079005500,"Census Tract 55, Milwaukee County, Wisconsin",3207,255
1400000US55079005600,55079005600,"Census Tract 56, Milwaukee County, Wisconsin",2273,110
1400000US55079005700,55079005700,"Census Tract 57, Milwaukee County, Wisconsin",2610,156
1400000US55079005800,55079005800,"Census Tract 58, Milwaukee County, Wisconsin",3530,260
1400000US55079005900,55079005900,"Census Tract 59, Milwaukee County, Wisconsin",3563,340
1400000US55079006000,55079006000,"Census Tract 60, Milwaukee County, Wisconsin",2543,276
1400000US55079006100,55079006100,"Census Tract 61, Milwaukee County, Wisconsin",2276,352
1400000US55079006200,55079006200,"Census Tract 62, Milwaukee County, Wisconsin",2624,251
1400000US55079006300,55079006300,"Census Tract 63, Milwaukee County, Wisconsin",2320,304
1400000US55079006400,55079006400,"Census Tract 64, Milwaukee County, Wisconsin",1941,370
1400000US55079006500,55079006500,"Census Tract 65, Milwaukee County, Wisconsin",2109,245
1400000US55079006600,55079006600,"Census Tract 66, Milwaukee County, Wisconsin",2546,439
1400000US55079006700,55079006700,"Census Tract 67, Milwaukee County, Wisconsin",1200,259
1400000US55079006800,55079006800,"Census Tract 68, Milwaukee County, Wisconsin",2386,273
1400000US55079006900,55079006900,"Census Tract 69, Milwaukee County, Wisconsin",3046,329
1400000US55079007000,55079007000,"Census Tract 70, Milwaukee County, Wisconsin",2811,327
1400000US55079007100,55079007100,"Census Tract 71, Milwaukee County, Wisconsin",2001,208
1400000US55079007200,55079007200,"Census Tract 72, Milwaukee County, Wisconsin",2895,234
1400000US55079007300,55079007300,"Census Tract 73, Milwaukee County, Wisconsin",2789,277
1400000US55079007400,55079007400,"Census Tract 74, Milwaukee County, Wisconsin",4055,234
1400000US55079007500,55079007500,"Census Tract 75, Milwaukee County, Wisconsin",2522,241
1400000US55079007600,55079007600,"Census Tract 76, Milwaukee County, Wisconsin",3554,303
1400000US55079007700,55079007700,"Census Tract 77, Milwaukee County, Wisconsin",3396,367
1400000US55079007800,55079007800,"Census Tract 78, Milwaukee County, Wisconsin",3608,277
1400000US55079007900,55079007900,"Census Tract 79, Milwaukee County, Wisconsin",2223,209
1400000US55079008000,55079008000,"Census Tract 80, Milwaukee County, Wisconsin",1964,260
1400000US55079008100,55079008100,"Census Tract 81, Milwaukee County, Wisconsin",1279,179
1400000US55079008400,55079008400,"Census Tract 84, Milwaukee County, Wisconsin",1151,182
1400000US55079008500,55079008500,"Census Tract 85, Milwaukee County, Wisconsin",1162,225
1400000US55079008600,55079008600,"Census Tract 86, Milwaukee County, Wisconsin",1004,138
1400000US55079008700,55079008700,"Census Tract 87, Milwaukee County, Wisconsin",1304,209
1400000US55079008800,55079008800,"Census Tract 88, Milwaukee County, Wisconsin",1643,269
1400000US55079008900,55079008900,"Census Tract 89, Milwaukee County, Wisconsin",1058,239
1400000US55079009000,55079009000,"Census Tract 90, Milwaukee County, Wisconsin",2586,362
1400000US55079009100,55079009100,"Census Tract 91, Milwaukee County, Wisconsin",2239,364
1400000US55079009200,55079009200,"Census Tract 92, Milwaukee County, Wisconsin",1865,213
1400000US55079009300,55079009300,"Census Tract 93, Milwaukee County, Wisconsin",2609,197
1400000US55079009400,55079009400,"Census Tract 94, Milwaukee County, Wisconsin",2574,212
1400000US55079009500,55079009500,"Census Tract 95, Milwaukee County, Wisconsin",2149,152
1400000US55079009600,55079009600,"Census Tract 96, Milwaukee County, Wisconsin",2039,320
1400000US55079009700,55079009700,"Census Tract 97, Milwaukee County, Wisconsin",1661,305
1400000US55079009800,55079009800,"Census Tract 98, Milwaukee County, Wisconsin",1532,165
1400000US55079009900,55079009900,"Census Tract 99, Milwaukee County, Wisconsin",1175,161
1400000US55079010600,55079010600,"Census Tract 106, Milwaukee County, Wisconsin",1314,201
1400000US55079010700,55079010700,"Census Tract 107, Milwaukee County, Wisconsin",2505,270
