GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",4469,453,4312,488,1332,295,2845,480,0,9,44,40,0,9,0,9,91,87,32,53,59,68,157,111,62,92,0,9,0,9,0,9,0,9,95,80,0,9,0,9,0,9
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",3666,344,3440,398,982,203,2052,297,16,28,345,288,0,9,0,9,45,36,0,9,45,36,226,167,43,40,56,63,0,9,0,9,0,9,35,41,92,108,92,108,0,9
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",5073,532,4129,663,744,208,3066,629,0,12,145,161,0,12,0,12,174,177,15,40,159,173,944,554,379,357,0,12,0,12,0,12,0,12,565,417,0,12,0,12,0,12
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",6757,593,6259,584,2643,354,3177,577,20,35,160,134,0,12,0,12,259,181,49,76,210,174,498,263,319,223,40,63,0,12,0,12,0,12,70,108,69,72,29,43,40,56
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1462,107,1436,109,1216,130,193,92,0,9,27,33,0,9,0,9,0,9,0,9,0,9,26,28,26,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",3233,256,3084,275,365,108,2393,304,0,9,132,110,0,9,0,9,194,89,0,9,194,89,149,103,32,42,0,9,0,9,0,9,0,9,57,74,60,47,35,41,25,26
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1949,225,1902,229,771,128,882,158,21,29,116,112,0,9,17,25,95,65,0,9,95,65,47,50,47,50,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",3278,278,3085,231,1260,133,1353,221,0,9,373,109,0,9,19,21,80,79,0,9,80,79,193,149,57,58,0,9,0,9,0,9,0,9,132,137,4,7,2,4,2,6
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",2527,304,2394,352,848,216,1350,338,45,53,103,145,0,9,0,9,48,52,0,9,48,52,133,108,54,56,22,42,0,9,0,9,0,9,57,84,0,9,0,9,0,9
1400000US55079000501,55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",3844,288,3544,330,1455,219,1893,281,0,9,34,47,8,14,0,9,154,106,0,9,154,106,300,171,41,55,0,9,0,9,0,9,0,9,259,165,0,9,0,9,0,9
1400000US55079000502,55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",4934,481,4640,470,707,196,3466,508,0,9,304,110,0,9,0,9,163,126,0,9,163,126,294,121,190,106,0,9,0,9,0,9,0,9,104,96,0,9,0,9,0,9
1400000US55079000600,55079000600,"Census Tract 6, Milwaukee County, Wisconsin",6958,781,6850,786,1167,324,4001,850,6,14,1210,479,0,12,0,12,466,331,0,12,466,331,108,86,70,63,0,12,0,12,0,12,0,12,17,32,21,35,0,12,21,35
1400000US55079000700,55079000700,"Census Tract 7, Milwaukee County, Wisconsin",3560,364,3500,376,944,202,2169,397,0,9,285,268,0,9,0,9,102,89,0,9,102,89,60,56,0,9,13,21,0,9,0,9,0,9,46,51,1,2,1,2,0,9
