GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",2319,150,543,162,1776,189
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",1685,144,783,114,902,137
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",1871,165,327,132,1544,231
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",2482,89,1329,102,1153,124
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",664,37,600,52,64,43
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",1022,45,416,59,606,62
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",635,55,314,55,321,59
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",1115,78,984,96,131,61
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",1146,107,240,84,906,142
1400000US55079000501,55079000501,"Census Tract 5.01, Milwaukee County, Wisconsin",1397,51,717,87,680,95
1400000US55079000502,55079000502,"Census Tract 5.02, Milwaukee County, Wisconsin",1591,104,395,80,1196,123
1400000US55079000600,55079000600,"Census Tract 6, Milwaukee County, Wisconsin",2264,120,1433,205,831,176
1400000US55079000700,55079000700,"Census Tract 7, Milwaukee County, Wisconsin",1417,96,807,83,610,104
1400000US55079000800,55079000800,"Census Tract 8, Milwaukee County, Wisconsin",1945,94,909,135,1036,137
1400000US55079000900,55079000900,"Census Tract 9, Milwaukee County, Wisconsin",1356,74,595,94,761,114
1400000US55079001000,55079001000,"Census Tract 10, Milwaukee County, Wisconsin",1406,69,568,107,838,123
1400000US55079001100,55079001100,"Census Tract 11, Milwaukee County, Wisconsin",1029,90,355,82,674,112
1400000US55079001200,55079001200,"Census Tract 12, Milwaukee County, Wisconsin",978,58,168,51,810,68
